On 19-Feb-2025, Trades: 5540390, Value: 12606.0
On 20-Feb-2025, Trades: 5323096, Value: 12030.0
On 21-Feb-2025, Trades: 5428268, Value: 12679.0
On 24-Feb-2025, Trades: 5031754, Value: 10475.0
On 25-Feb-2025, Trades: 4482651, Value: 10408.0
On 27-Feb-2025, Trades: 5462485, Value: 12354.0
On 28-Feb-2025, Trades: 6361906, Value: 14607.0
On 03-Mar-2025, Trades: 7289647, Value: 14332.0
On 04-Mar-2025, Trades: 5667986, Value: 12617.0
On 05-Mar-2025, Trades: 6188978, Value: 14126.0
On 06-Mar-2025, Trades: 5555284, Value: 13168.0
On 07-Mar-2025, Trades: 5413953, Value: 13107.0
On 10-Mar-2025, Trades: 5314945, Value: 12126.0
On 11-Mar-2025, Trades: 4970884, Value: 12777.0
On 12-Mar-2025, Trades: 4890229, Value: 12648.0
On 13-Mar-2025, Trades: 4496644, Value: 10988.0
On 17-Mar-2025, Trades: 5258903, Value: 11577.0
On 18-Mar-2025, Trades: 5085245, Value: 13348.0
On 19-Mar-2025, Trades: 5813223, Value: 16465.0
On 20-Mar-2025, Trades: 5982782, Value: 15952.0
On 21-Mar-2025, Trades: 6467907, Value: 18341.0
On 24-Mar-2025, Trades: 6842725, Value: 18471.0
On 25-Mar-2025, Trades: 6161220, Value: 15950.0
On 26-Mar-2025, Trades: 5364026, Value: 13929.0
On 27-Mar-2025, Trades: 6042834, Value: 15997.0
On 28-Mar-2025, Trades: 5933161, Value: 16654.0
On 01-Apr-2025, Trades: 5520197, Value: 13364.0
On 02-Apr-2025, Trades: 4842704, Value: 12366.0
On 03-Apr-2025, Trades: 5541914, Value: 14757.0
On 04-Apr-2025, Trades: 6280121, Value: 15032.0
On 07-Apr-2025, Trades: 7478242, Value: 15279.0
On 08-Apr-2025, Trades: 4851534, Value: 11870.0
On 09-Apr-2025, Trades: 4475381, Value: 10607.0
On 11-Apr-2025, Trades: 5110207, Value: 12447.0
On 15-Apr-2025, Trades: 5914000, Value: 14208.0
On 16-Apr-2025, Trades: 5378507, Value: 14303.0
On 17-Apr-2025, Trades: 5525264, Value: 15025.0
On 21-Apr-2025, Trades: 6581429, Value: 18213.0
On 22-Apr-2025, Trades: 5819202, Value: 17451.0
On 23-Apr-2025, Trades: 5750350, Value: 18253.0
On 24-Apr-2025, Trades: 5364026, Value: 16017.0
On 25-Apr-2025, Trades: 6257426, Value: 16896.0
On 28-Apr-2025, Trades: 5219815, Value: 14188.0
On 29-Apr-2025, Trades: 4983495, Value: 16269.0
On 30-Apr-2025, Trades: 5198338, Value: 14887.0
On 02-May-2025, Trades: 5729632, Value: 15064.0
On 05-May-2025, Trades: 5666769, Value: 15384.0
On 06-May-2025, Trades: 5359799, Value: 14701.0
On 07-May-2025, Trades: 5300584, Value: 15193.0
On 08-May-2025, Trades: 5388165, Value: 15047.0
On 09-May-2025, Trades: 5211959, Value: 14154.0
On 12-May-2025, Trades: 5935835, Value: 17380.0
On 13-May-2025, Trades: 5499608, Value: 17047.0
On 14-May-2025, Trades: 5956641, Value: 19905.0
On 15-May-2025, Trades: 6041269, Value: 19529.0
On 16-May-2025, Trades: 6607342, Value: 24486.0
On 19-May-2025, Trades: 6774488, Value: 20885.0
On 20-May-2025, Trades: 5885530, Value: 18685.0
On 21-May-2025, Trades: 5493901, Value: 17453.0
On 22-May-2025, Trades: 5399931, Value: 17794.0
On 23-May-2025, Trades: 6016185, Value: 18247.0
On 26-May-2025, Trades: 6070773, Value: 17739.0
On 27-May-2025, Trades: 5385713, Value: 17357.0
On 28-May-2025, Trades: 5668249, Value: 18513.0
On 29-May-2025, Trades: 5571888, Value: 17775.0
On 30-May-2025, Trades: 6106736, Value: 21106.0
On 02-Jun-2025, Trades: 7036486, Value: 18946.0
