"Segment ","Trading Date ","Total no. of Trades ","Traded Value (Rs. in Cr.) ","Registered Clients ","Settlement Number "
"Capital Market","13-Feb-2026",4841683,15636,42675,"2026031"
"Capital Market","12-Feb-2026",4871514,15201,42675,"2026030"
"Capital Market","11-Feb-2026",4706290,15348,42675,"2026029"
"Capital Market","10-Feb-2026",4733128,15806,118172,"2026028"
"Capital Market","09-Feb-2026",5338227,16440,123878,"2026027"
"Capital Market","06-Feb-2026",4530834,14920,47680,"2026026"
"Capital Market","05-Feb-2026",5184487,16104,47680,"2026025"
"Capital Market","04-Feb-2026",5744645,19021,47680,"2026024"
"Capital Market","03-Feb-2026",6118567,21782,122955,"2026023"
"Capital Market","02-Feb-2026",6057775,18469,122955,"2026022"
"Capital Market","01-Feb-2026",5850797,18011,122955,"2026300"
"Capital Market","30-Jan-2026",6420615,24557,578214,"2026021"
"Capital Market","29-Jan-2026",5675251,21454,578214,"2026020"
"Capital Market","28-Jan-2026",5152230,19614,578214,"2026019"
"Capital Market","27-Jan-2026",5513816,17345,653161,"2026018"
"Capital Market","23-Jan-2026",5249786,17736,958545,"2026017"
"Capital Market","22-Jan-2026",5363320,19416,958545,"2026016"
"Capital Market","21-Jan-2026",5790924,19552,958545,"2026015"
"Capital Market","20-Jan-2026",5698091,18763,958545,"2026014"
"Capital Market","19-Jan-2026",5248329,16468,1038777,"2026013"
"Capital Market","16-Jan-2026",5223321,17395,961959,"2026012"
"Capital Market","14-Jan-2026",4522118,15948,961979,"2026010"
"Capital Market","13-Jan-2026",4452758,14913,961979,"2026009"
"Capital Market","12-Jan-2026",5703381,16160,1037067,"2026008"
"Capital Market","09-Jan-2026",5180198,16094,1437220,"2026007"
"Capital Market","08-Jan-2026",5524882,16653,1437220,"2026006"
"Capital Market","07-Jan-2026",4969489,16402,1437220,"2026005"
"Capital Market","06-Jan-2026",5345520,17232,1437220,"2026004"
"Capital Market","05-Jan-2026",5902551,17345,1517107,"2026003"
"Capital Market","02-Jan-2026",5538801,18761,18235802,"2026002"
"Capital Market","01-Jan-2026",4970290,14896,18235802,"2026001"
"Capital Market","31-Dec-2025",5154654,17789,18235802,"2025249"
"Capital Market","30-Dec-2025",4981156,16327,18309837,"2025248"
"Capital Market","29-Dec-2025",5792096,18781,18310390,"2025247"
"Capital Market","26-Dec-2025",5009869,15718,11178710,"2025246"
"Capital Market","24-Dec-2025",4900684,19780,11178710,"2025245"
"Capital Market","23-Dec-2025",5071414,15800,11252536,"2025244"
"Capital Market","22-Dec-2025",5389127,16733,11253114,"2025243"
"Capital Market","19-Dec-2025",4810467,16226.2,11176600,"2025242"
"Capital Market","18-Dec-2025",4763353,14700.65,11176600,"2025241"
"Capital Market","17-Dec-2025",4555913,14433.66,11176600,"2025240"
"Capital Market","16-Dec-2025",4533476,13495.36,11176600,"2025239"
